date,portfolio_value
2024-01-11,90338.46108000015
2024-01-12,90391.38108000014
2024-01-16,90051.18108000015
2024-01-17,89565.45108000014
2024-01-18,90363.03108000015
2024-01-19,91493.25108000015
2024-01-22,91676.58108000015
2024-01-23,91935.51108000014
2024-01-24,92048.91108000015
2024-01-25,92540.31108000015
2024-01-26,92436.36108000015
2024-01-29,93150.78108000015
2024-01-30,93084.63108000014
2024-01-31,91583.02608000014
2024-02-01,92767.11108000015
2024-02-02,93725.34108000014
2024-02-05,93397.42608000015
2024-02-06,93668.64108000015
2024-02-07,94432.20108000014
2024-02-08,94515.36108000015
2024-02-09,95010.54108000014
2024-02-12,94991.64108000015
2024-02-13,93700.77108000015
2024-02-14,94543.71108000015
2024-02-15,95176.86108000015
2024-02-16,94723.26108000014
2024-02-20,94189.33608000015
2024-02-21,94282.89108000015
2024-02-22,96218.25108000015
2024-02-23,96282.51108000014
2024-02-26,95912.07108000015
2024-02-27,96118.08108000015
2024-02-28,95963.10108000014
2024-02-29,96344.88108000014
2024-03-01,97248.30108000014
2024-03-04,97136.79108000016
2024-03-05,96150.21108000015
2024-03-06,96643.50108000015
2024-03-07,97662.21108000015
2024-03-08,97019.61108000015
2024-03-11,96932.67108000015
2024-03-12,97974.06108000015
2024-03-13,97822.86108000015
2024-03-14,97613.07108000015
2024-03-15,96662.40108000014
2024-03-18,97242.63108000014
2024-03-19,97788.84108000014
2024-03-20,98682.81108000015
2024-03-21,98977.65108000016
2024-03-22,98849.13108000014
2024-03-25,98561.85108000014
2024-03-26,98342.61108000015
2024-03-27,99166.65108000016
2024-03-28,99177.04608000015
2024-04-01,99002.22108000015
2024-04-02,98376.63108000014
2024-04-03,98497.59108000014
2024-04-04,97284.21108000015
2024-04-05,98308.59108000014
2024-04-08,98329.38108000014
2024-04-09,98459.79108000016
2024-04-10,97487.38608000016
2024-04-11,98215.98108000014
2024-04-12,96860.85108000014
2024-04-15,95658.81108000015
2024-04-16,95449.02108000015
2024-04-17,94902.81108000015
2024-04-18,94694.91108000015
2024-04-19,93894.49608000014
2024-04-22,94717.59108000014
2024-04-23,95844.03108000015
2024-04-24,95874.27108000015
2024-04-25,95471.70108000014
2024-04-26,96353.38608000014
2024-04-29,96707.76108000014
2024-04-30,95231.67108000015
2024-05-01,94825.32108000015
2024-05-02,95755.20108000014
2024-05-03,96930.78108000015
2024-05-06,97930.59108000014
2024-05-07,98065.72608000014
2024-05-08,98055.33108000015
2024-05-09,98614.77108000014
2024-05-10,98737.62108000014
2024-05-13,98759.35608000014
2024-05-14,99203.50608000014
2024-05-15,100436.73108000014
2024-05-16,100253.40108000016
2024-05-17,100381.92108000015
2024-05-20,100483.98108000014
2024-05-21,100727.79108000016
2024-05-22,100436.73108000014
2024-05-23,99710.97108000015
2024-05-24,100372.47108000015
2024-05-28,100451.85108000014
2024-05-29,99741.21108000015
2024-05-30,99085.38108000014
2024-05-31,99970.84608000015
2024-06-03,100053.06108000015
2024-06-04,100162.68108000015
2024-06-05,101353.38108000014
2024-06-06,101349.60108000014
2024-06-07,101232.42108000015
2024-06-10,101552.77608000016
2024-06-11,101799.42108000015
2024-06-12,102606.45108000014
2024-06-13,102808.68108000015
2024-06-14,102891.84108000014
2024-06-17,103696.98108000014
2024-06-18,103967.25108000015
2024-06-20,103693.20108000014
2024-06-21,103137.54108000016
2024-06-24,102876.72108000015
2024-06-25,103267.00608000014
2024-06-26,103420.09608000015
