date,portfolio_value
2023-01-27,92155.30437999997
2023-01-30,92109.48669999998
2023-01-31,92357.14089999998
2023-02-01,92311.20033999998
2023-02-02,91951.79523999999
2023-02-03,91908.87302999999
2023-02-06,91734.03302999999
2023-02-07,92852.27462999999
2023-02-08,92912.03726999999
2023-02-09,92389.74846999999
2023-02-10,92418.72404999998
2023-02-13,93441.42550999999
2023-02-14,93441.42550999999
2023-02-15,93348.25802999998
2023-02-16,93234.38286999999
2023-02-17,93435.10921999998
2023-02-21,92696.36421999999
2023-02-22,92260.43922
2023-02-23,92346.05088000001
2023-02-24,91622.44170000001
2023-02-27,92123.18170000002
2023-02-28,92138.06618000001
2023-03-01,91523.20618000001
2023-03-02,91269.85091000001
2023-03-03,91785.66543000002
2023-03-06,91785.66543000002
2023-03-07,91739.99471000001
2023-03-08,91549.75471000001
2023-03-09,91315.90815000002
2023-03-10,91548.09815
2023-03-13,90742.62815000002
2023-03-14,91569.39605000002
2023-03-15,90349.53045000003
2023-03-16,90349.53045000003
2023-03-17,90349.53045000003
2023-03-20,90349.53045000003
2023-03-21,90349.53045000003
2023-03-22,90349.53045000003
2023-03-23,90349.53045000003
2023-03-24,90349.53045000003
2023-03-27,90349.53045000003
2023-03-28,90349.53045000003
2023-03-29,90349.53045000003
2023-03-30,90349.53045000003
2023-03-31,90349.53045000003
2023-04-03,90349.53045000003
2023-04-04,90349.53045000003
2023-04-05,90214.39577000003
2023-04-06,89997.16577000004
2023-04-10,91311.73620000004
2023-04-11,91311.73620000004
2023-04-12,91175.75970000005
2023-04-13,93272.69842000004
2023-04-14,93272.69842000004
2023-04-17,93179.63792000004
2023-04-18,93152.06792000004
2023-04-19,93174.92292000004
2023-04-20,93133.59350000005
2023-04-21,92695.50350000005
2023-04-24,92329.02246000004
2023-04-25,90790.79246000003
2023-04-26,92650.72121000003
2023-04-27,96769.58587000004
2023-04-28,96769.58587000004
2023-05-01,96769.58587000004
2023-05-02,96721.37083000004
2023-05-03,96200.35591000004
2023-05-04,97098.01811000003
2023-05-05,98352.32021000006
2023-05-08,98352.32021000006
2023-05-09,98303.43407000008
2023-05-10,98359.08407000007
2023-05-11,98316.43013000008
2023-05-12,98079.26501000008
2023-05-15,98333.52129000006
2023-05-16,97903.38847000006
2023-05-17,98085.54547000007
2023-05-18,97861.81303000006
2023-05-19,98132.27787000006
2023-05-22,97430.70412000007
2023-05-23,97000.13912000007
2023-05-24,96520.39486000006
2023-05-25,96042.18486000005
2023-05-26,96108.40986000006
2023-05-30,95446.49111000006
2023-05-31,95337.59111000005
2023-06-01,95521.07771000006
2023-06-02,95521.07771000006
2023-06-05,95521.07771000006
2023-06-06,95521.07771000006
2023-06-07,95378.69379000005
2023-06-08,95810.22247000004
2023-06-09,95963.63247000004
2023-06-12,96788.78370000004
2023-06-13,96788.78370000004
2023-06-14,96788.78370000004
2023-06-15,96788.78370000004
2023-06-16,96788.78370000004
2023-06-20,96788.78370000004
2023-06-21,96644.23010000004
2023-06-22,96885.63226000004
2023-06-23,96377.05226000004
2023-06-26,95861.38228000005
2023-06-27,97905.99928000005
2023-06-28,97905.99928000005
2023-06-29,97905.99928000005
2023-06-30,97905.99928000005
2023-07-03,97905.99928000005
2023-07-05,97905.99928000005
2023-07-06,97857.06394000005
2023-07-07,97816.08790000006
2023-07-10,98476.78090000006
2023-07-11,98568.52074000005
2023-07-12,99201.38306000005
